Axial strain,Vol strain,sigma 1,sigma 3,p,q,e,eta,epQ,D,ec,psi
0,0,514.5089549,514.5089549,514.5089549,0,0.739,0,0,,0.8481859,-0.1091859
0.019570961,0.003021355,535.313835,513.0821096,520.4926847,22.23172541,0.738947459,0.042712849,0.018563842,,0.847473342,-0.108525884
0.04285133,0.009714318,568.8103145,513.3359273,531.8273897,55.47438726,0.738831068,0.104309008,0.039613224,0.316226009,0.846137374,-0.107306306
0.057866769,0.017732948,596.4137555,513.3270186,541.0225976,83.08673684,0.738691624,0.153573505,0.051955787,0.422632208,0.845066491,-0.106374867
0.091067506,0.026051826,621.955722,513.5292766,549.6714251,108.4264454,0.738546959,0.197256835,0.082383564,0.542258509,0.844069491,-0.105522532
0.104899614,0.034630919,646.8932422,514.1832926,558.4199425,132.7099496,0.738397768,0.237652597,0.093355974,0.514988643,0.843070845,-0.104673077
0.116763589,0.043658383,670.1641006,514.5740689,566.4374128,155.5900316,0.738240781,0.274681771,0.102210794,0.529722169,0.842164132,-0.103923351
0.139479882,0.053604893,698.5124718,513.57563,575.2212439,184.9368418,0.738067811,0.321505584,0.121611585,0.585189967,0.841179838,-0.103112027
0.17410307,0.06343645,722.8089215,513.6956825,583.4000955,209.113239,0.73789684,0.358438815,0.152957587,0.508249867,0.84027168,-0.102374839
0.185194507,0.073949142,750.2981594,514.2879541,592.9580226,236.0102052,0.737714024,0.398021776,0.160544793,0.48995647,0.839220339,-0.101506315
0.211270728,0.084732915,773.9229869,515.338322,601.5332103,258.584665,0.737526495,0.429875958,0.183026423,0.673683419,0.838286003,-0.100759509
0.23564246,0.094105808,799.8405676,514.0182211,609.2923366,285.8223465,0.7373635,0.469105435,0.204273857,0.519033945,0.837447674,-0.100084174
0.249768868,0.105063439,823.8093684,514.8742323,617.852611,308.9351361,0.737172947,0.500014292,0.214747721,0.521652254,0.83653043,-0.099357483
0.278365033,0.115175228,847.2665438,514.4106334,625.3626036,332.8559103,0.736997103,0.532260657,0.239973291,0.521183814,0.835732191,-0.098735089
0.302693847,0.125359649,871.1044194,514.5572008,633.4062737,356.5472185,0.736819996,0.562904463,0.260907297,0.469012308,0.834883793,-0.098063797
0.32843898,0.135311306,896.0583312,513.2729594,640.8680833,382.7853719,0.736646936,0.597291988,0.283335211,0.505869419,0.834102718,-0.097455781
0.352301818,0.146650967,918.744997,515.593568,649.9773777,403.151429,0.73644974,0.620254555,0.303418162,0.497340774,0.833156795,-0.096707055
0.37290896,0.156101066,940.683161,514.9938425,656.890282,425.6893185,0.736285402,0.648037169,0.320875271,0.537386282,0.832444421,-0.096159018
0.395815323,0.165086781,964.8211927,513.4052836,663.8772533,451.415909,0.736129141,0.679968935,0.340786395,0.525683528,0.831729121,-0.095599981
0.416857784,0.175608052,986.4366945,514.6365745,671.9032812,471.80012,0.735946176,0.702184575,0.358321767,0.455837631,0.830913184,-0.094967008
0.436324514,0.184234613,1005.704466,513.4070236,677.506171,492.297442,0.73579616,0.726631672,0.374912976,0.440662839,0.830347162,-0.094551002
0.469047013,0.194143949,1027.850384,514.5530323,685.6521495,513.2973516,0.735623837,0.748626475,0.404332363,0.481018816,0.829529382,-0.093905545
0.497293697,0.204077305,1047.732877,514.7660429,692.4216543,532.9668341,0.735451096,0.769714279,0.429267929,0.442825391,0.828854359,-0.093403263
0.507753615,0.213288921,1068.280344,514.9135152,699.3691247,553.3668285,0.735290906,0.791237144,0.436657308,0.495317202,0.82816583,-0.092874924
0.533566192,0.221757066,1090.21556,513.1260004,705.489187,577.0895597,0.735143645,0.817999156,0.45964717,0.510164085,0.827562807,-0.092419162
0.556864954,0.231477674,1108.488692,513.9335639,712.1186066,594.5551281,0.734974603,0.834910256,0.47970573,0.408148068,0.826913243,-0.09193864
0.579335998,0.239849167,1129.055924,514.1186961,719.0977721,614.937228,0.734829023,0.855151068,0.499386275,0.405318383,0.826233449,-0.091404426
0.678876896,0.274768325,1203.499905,513.9975994,743.8317011,689.5023053,0.734221779,0.926960096,0.587287455,0.383226011,0.823856693,-0.089634914
0.774450873,0.30777104,1275.36953,515.0468175,768.4877217,760.3227127,0.733647862,0.989375225,0.671860527,0.379293016,0.821535707,-0.087887845
0.86679368,0.336796753,1336.764124,514.7190569,788.7340794,822.0450675,0.733143104,1.042233484,0.754528096,0.350293961,0.819664115,-0.086521011
0.951920002,0.36530604,1402.605992,514.2659812,810.3793181,888.3400106,0.732647328,1.096202717,0.830151322,0.309716606,0.817695867,-0.085048539
1.04999553,0.391176572,1458.108037,514.5743743,829.0855953,943.533663,0.732197439,1.138041317,0.919603339,0.284977568,0.81602096,-0.083823521
1.153754731,0.414254511,1510.976748,513.7959231,846.1895316,997.1808254,0.731796114,1.178436731,1.015669894,0.246959033,0.814509908,-0.082713794
1.246882338,0.435716827,1560.845634,515.0926258,863.6769617,1045.753008,0.731422884,1.210814985,1.101643395,0.223595881,0.812984429,-0.081561544
1.346233167,0.455278716,1606.79367,514.6212978,878.6787553,1092.172372,0.731082703,1.242971183,1.194473595,0.206002772,0.811690969,-0.080608266
1.439869668,0.472304221,1649.899317,513.9586891,892.6055651,1135.940628,0.73078663,1.272612083,1.282434928,0.178906736,0.810502394,-0.079715764
1.535474302,0.487837064,1689.922132,514.4294762,906.2603616,1175.492656,0.730516513,1.297080515,1.372861947,0.157817897,0.809348145,-0.078831631
1.63657867,0.501512371,1728.833507,514.568618,919.3235811,1214.264889,0.7302787,1.320824261,1.469407879,0.132716145,0.808253951,-0.077975252
1.72790982,0.512503744,1758.237586,514.6579119,929.1844698,1243.579674,0.73008756,1.338356068,1.557075238,0.113473482,0.807434359,-0.077346799
1.83602221,0.522652707,1792.947887,514.8252712,940.8661432,1278.122616,0.729911069,1.358453193,1.661804641,0.094294904,0.806470379,-0.076559309
1.927224604,0.530670193,1822.532688,514.3900709,950.4376101,1308.142617,0.729771645,1.37635822,1.750334539,0.076271446,0.805686051,-0.075914406
2.026262739,0.537137826,1851.288477,514.7709747,960.2768089,1336.517503,0.729659173,1.391804415,1.847216797,0.059640687,0.804884872,-0.075225699
2.122272035,0.541836569,1875.860031,514.3935137,968.2156863,1361.466518,0.729577462,1.40616036,1.941659846,0.043618884,0.804242133,-0.074664671
2.221285646,0.545182192,1899.463612,514.5614993,976.1955367,1384.902112,0.729519282,1.418672858,2.039558248,0.028613098,0.803599362,-0.07408008
2.313101165,0.547260482,1921.703911,514.414541,983.5109975,1407.28937,0.72948314,1.430883206,2.130681004,0.014380611,0.803012962,-0.073529822
2.42231718,0.548363108,1945.675818,514.7095038,991.6982752,1430.966314,0.729463966,1.442945249,2.239529478,0.002526328,0.802359877,-0.072895912
2.520588909,0.547537282,1963.605775,514.7135932,997.6776539,1448.892182,0.729478327,1.452264844,2.338076482,-0.009161001,0.801885022,-0.072406695
2.62004397,0.546188738,1984.91237,515.0622274,1005.012275,1469.850143,0.729501778,1.462519592,2.437981057,-0.021276396,0.801304942,-0.071803164
2.715464666,0.543563139,2000.77237,514.6211977,1010.004922,1486.151172,0.729547437,1.471429634,2.534276953,-0.03063136,0.800911585,-0.071364148
2.811602718,0.540021353,2015.689334,514.4657606,1014.873618,1501.223573,0.729609029,1.479222187,2.6315956,-0.04203314,0.800529152,-0.070920123
2.905024626,0.535640017,2031.070417,514.9540016,1020.32614,1516.116416,0.72968522,1.485913529,2.726477953,-0.050216197,0.800102208,-0.070416988
3.000690572,0.529961607,2047.51059,514.6615128,1025.611205,1532.849077,0.729783968,1.494571305,2.824036703,-0.060056411,0.799689724,-0.069905757
3.10766868,0.523532863,2060.190743,514.9729346,1030.045537,1545.217808,0.729895764,1.500145141,2.933157726,-0.068793153,0.799344653,-0.06944889
3.202365888,0.516074125,2073.496349,514.9336425,1034.454545,1558.562706,0.730025471,1.506651708,3.03034118,-0.072811677,0.799002465,-0.068976994
3.298375184,0.507945118,2086.279656,514.4149672,1038.369863,1571.864688,0.730166834,1.513781114,3.129060145,-0.086272168,0.79869935,-0.068532515
3.411674615,0.499292821,2096.949765,514.9000207,1042.249936,1582.049745,0.730317298,1.517917815,3.245243675,-0.090338767,0.798399661,-0.068082364
3.497346618,0.488919101,2106.978388,514.2839345,1045.182086,1592.694454,0.730497697,1.523844003,3.334373584,-0.079516725,0.798173647,-0.06767595
